I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
,-0.0737,,-3.4432,-1.3844,-0.0384,,,,,,
,-0.1022,,-3.5568,-1.4301,-0.0533,,,,,,
,-0.1934,,-3.8266,-1.5385,-0.1007,,,,,,
,-0.2169,,-3.9272,-1.579,-0.1129,,,,,,
,-0.2377,,-4.0196,-1.6161,-0.1238,,,,,,
,-0.353,,-4.4124,-1.7741,-0.1839,,,,,,
,-0.3775,,-4.469,-1.7968,-0.1966,,,,,,
,-0.418,,-4.6714,-1.8782,-0.2177,,,,,,
,-0.4804,,-4.8218,-1.9387,-0.2502,,,,,,
,-0.4968,,-4.8738,-1.9596,-0.2587,,,,,,
,-0.5364,,-4.9761,-2.0007,-0.2794,,,,,,
,-0.5681,,-5.103,-2.0517,-0.2959,,,,,,
,-0.5841,,-5.1544,-2.0724,-0.3042,,,,,,
,-0.6557,,-5.4348,-2.1851,-0.3415,,,,,,
,-0.6639,,-5.4613,-2.1958,-0.3458,,,,,,
,-0.6719,,-5.4868,-2.206,-0.3499,,,,,,
,-0.7112,,-5.5876,-2.2466,-0.3704,,,,,,
,-0.7276,,-5.6147,-2.2575,-0.3789,,,,,,
,-0.7435,,-5.6898,-2.2877,-0.3872,,,,,,
,-0.7825,,-5.8156,-2.3382,-0.4075,,,,,,
,-0.7916,,-5.845,-2.3501,-0.4123,,,,,,
,-0.8072,,-5.8949,-2.3701,-0.4204,,,,,,
,-0.8231,,-5.9217,-2.3809,-0.4287,,,,,,
,-0.8315,,-5.9471,-2.3911,-0.4331,,,,,,
,-0.8395,,-5.9966,-2.411,-0.4372,,,,,,
,-0.8474,,-6.0238,-2.4219,-0.4414,,,,,,
,-0.8554,,-6.0493,-2.4322,-0.4455,,,,,,
,-0.8633,,-6.0748,-2.4424,-0.4496,,,,,,
,-0.8713,,-6.1003,-2.4527,-0.4538,,,,,,
,-0.8792,,-6.1258,-2.4629,-0.4579,,,,,,
,-0.8872,,-6.1512,-2.4732,-0.4621,,,,,,
,-0.888,,-6.1538,-2.4742,-0.4625,,,,,,
,-0.8951,,-6.1766,-2.4834,-0.4662,,,,,,
,-0.896,,-6.1795,-2.4845,-0.4667,,,,,,
,-0.903,,-6.2019,-2.4936,-0.4703,,,,,,
,-0.911,,-6.2051,-2.4948,-0.4745,,,,,,
,-0.912,,-6.2273,-2.5038,-0.475,,,,,,
,-0.912,,-6.2308,-2.5052,-0.475,,,,,,
,-0.9188,,-6.2526,-2.5139,-0.4786,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4849,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4818,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.92,,-6.2564,-2.5155,-0.4792,,,,,,
,-0.9158,,-6.2564,-2.5155,-0.477,,,,,,
,-0.912,,-6.2564,-2.5155,-0.475,,,,,,
,-0.9079,,-6.2564,-2.5155,-0.4729,,,,,,
,-0.9,,-6.2564,-2.5155,-0.4687,,,,,,
,-0.892,,,,,-6.2564,-2.5155,-0.4646,,,
,-0.888,,,,,-6.2564,-2.5155,-0.4625,,,
,-0.888,,,,,-6.2564,-2.5155,-0.4625,,,
,-0.8842,,,,,-6.2564,-2.5155,-0.4605,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.8694,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.8664,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2564,-2.5155,-0.4583,,,
,-0.88,,,,,-6.2667,-2.5196,-0.4583,,,
,-0.8832,,,,,-6.2922,-2.5298,-0.46,,,
,-0.888,,,,,-6.3176,-2.5401,-0.4625,,,
,-0.8911,,,,,-6.3431,-2.5503,-0.4641,,,
,-0.899,,,,,-6.3686,-2.5606,-0.4682,,,
,-0.907,,,,,-6.3941,-2.5708,-0.4724,,,
,-0.9149,,,,,-6.4196,-2.5811,-0.4765,,,
,-0.9229,,,,,-6.4359,-2.5876,-0.4807,,,
,-0.9308,,,,,-6.445,-2.5913,-0.4848,,,
,-0.9388,,,,,-6.4615,-2.5979,-0.4889,,,
,-0.9467,,,,,-6.4615,-2.5979,-0.4931,,,
,-0.9547,,,,,-6.4615,-2.5979,-0.4972,,,
,-0.96,,,,,-6.4615,-2.5979,-0.5,,,
,-0.9626,,,,,-6.4615,-2.5979,-0.5014,,,
,-0.968,,,,,-6.4615,-2.5979,-0.5042,,,
,-0.9705,,,,,-6.4615,-2.5979,-0.5055,,,
,-0.976,,,,,-6.4615,-2.5979,-0.5083,,,
,-0.9784,,,,,-6.4615,-2.5979,-0.5096,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4615,-2.5979,-0.5125,,,
,-0.984,,,,,-6.4672,-2.6002,-0.5125,,,
,-0.984,,,,,-6.4872,-2.6082,-0.5125,,,
,-0.984,,,,,-6.4926,-2.6104,-0.5125,,,
,-0.984,,,,,-6.5128,-2.6186,-0.5125,,,
,-0.984,,,,,-6.5179,-2.6206,-0.5125,,,
,-0.984,,,,,-6.5385,-2.6289,-0.5125,,,
,-0.984,,,,,-6.5385,-2.6289,-0.5125,,,
,-0.984,,,,,-6.5385,-2.6289,-0.5125,,,
,-0.984,,,,,-6.5385,-2.6289,-0.5125,,,
,-0.9867,,,,,-6.5385,-2.6289,-0.5139,,,
,-0.9974,,,,,-6.5385,-2.6289,-0.5195,,,
,-0.984,,,,,-6.5385,-2.6289,-0.5125,,,
,-0.984,,,,,-6.5385,-2.6289,-0.5125,,,
,-0.984,,,,,-6.5385,-2.6289,-0.5125,,,
,-0.984,,,,,-6.5385,-2.6289,-0.5125,,,
,-0.984,,,,,-6.5385,-2.6289,-0.5125,,,
,-0.984,,,,,-6.5418,-2.6302,-0.5125,,,
,-0.984,,,,,-6.5641,-2.6392,-0.5125,,,
,-0.984,,,,,-6.5671,-2.6404,-0.5125,,,
,-0.984,,,,,-6.5926,-2.6506,-0.5125,,,
,-0.984,,,,,-6.6154,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6154,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6154,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6154,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6154,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6194,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6629,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6154,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6154,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6154,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6154,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6154,-2.6598,-0.5125,,,
,-0.984,,,,,-6.6066,-2.6562,-0.5125,,,
,-0.9835,,,,,-6.3821,-2.566,-0.5122,,,
,-0.9665,,,,,-6.3008,-2.5333,-0.5034,,,
,-0.9118,,,,,-6.0513,-2.433,-0.4749,,,
,-0.9039,,,,,-6.0509,-2.429,-0.4708,,,
,-0.8949,,,,,-6.0293,-2.1791,-0.4666,,,
,-0.7764,,,,,-6.4115,-2.5778,-0.4583,,,
,-0.8878,,,,,-6.743,-2.7111,-0.4625,,,
,-0.9356,,,,,-7.0744,-2.8443,-0.4873,,,
,-1.228,,,,,-8.6454,-3.476,-0.6396,,,
,-1.3262,,,,,-9.1194,-3.6666,-0.6907,,,
,-1.4216,,,,,-9.6033,-3.8611,-0.7404,,,
,-1.9048,,,,,-12.1756,-4.8953,-0.9921,,,
,-2.0819,,,,,-12.9483,-5.206,-1.0843,,,
,-2.7777,,,,,-15.1604,-6.0954,-1.4467,,,
,-3.1584,,,,,-16.9655,-6.8212,-1.645,,,
,-3.3426,,,,,-17.658,-7.0996,-1.7409,,,
,-3.6756,,,,,-18.826,-7.5692,-1.9144,,,
,-4.0999,,,,,-20.6236,-8.292,-2.1354,,,
,-4.2395,,,,,-21.2916,-8.5605,-2.2081,,,
,-4.8686,,,,,-24.1039,-9.6913,-2.5357,,,
,-4.9934,,,,,-24.5922,-9.8876,-2.6007,,,
,-5.073,,,,,-24.896,-10.0097,-2.6422,,,
,-5.3048,,,,,-25.7829,-10.3663,-2.7629,,,
,-5.2704,,,,,-26.0565,-10.4763,-2.745,,,
,-5.2568,,,,,-26.2834,-10.5676,-2.7379,,,
,-5.2275,,,,,-27.2652,-10.9623,-2.7227,,,
,-5.2169,,,,,-27.4752,-11.0467,-2.7172,,,
,-5.202,,,,,-27.5772,-11.0877,-2.7094,,,
,-5.1651,,,,,-27.858,-11.2006,-2.6902,,,
,-5.1531,,,,,-27.6531,-11.1183,-2.6839,,,
,-5.1451,,,,,-27.4389,-11.0321,-2.6797,,,
,-5.1235,,,,,-27.3007,-10.9766,-2.6685,,,
,-5.12,,,,,-27.1732,-10.9253,-2.6667,,,
,-5.1807,,,,,-26.3106,-10.5785,-2.6983,,,
,-5.2121,,,,,-26.0035,-10.455,-2.7146,,,
,-5.216,,,,,-25.8037,-10.3747,-2.7167,,,
,-5.3085,,,,,-25.0915,-10.0883,-2.7649,,,
,-5.2427,,,,,-24.7384,-9.9464,-2.7306,,,
,-5.0546,,,,,-23.8151,-9.5752,-2.6326,,,
,-4.9836,,,,,-22.8066,-9.1697,-2.5957,,,
,-4.9503,,,,,-22.3889,-9.0017,-2.5783,,,
,-4.8419,,,,,-21.7813,-8.7574,-2.5218,,,
,-4.7717,,,,,-21.0321,-8.4562,-2.4852,,,
,-4.6971,,,,,-20.63,-8.2945,-2.4464,,,
,-4.2931,,,,,-18.9839,-7.6327,-2.236,,,
,-4.1282,,,,,-18.2803,-7.3498,-2.1501,,,
,-4.0505,,,,,-17.9489,-7.2166,-2.1096,,,
,-3.8306,,,,,-16.9915,-6.8316,-1.9951,,,
,-3.7135,,,,,-16.485,-6.628,-1.9341,,,
,-3.6359,,,,,-16.1983,-6.5127,-1.8937,,,
,-3.2998,,,,,,,,-14.7707,-5.9387,-1.7187
,-3.1446,,,,,,,,-14.08,-5.661,-1.6378
,-3.0105,,,,,,,,-13.5858,-5.4623,-1.568
,-2.8514,,,,,,,,-12.9316,-5.1993,-1.4851
,-2.7617,,,,,,,,-12.5768,-5.0567,-1.4384
,-2.6465,,,,,,,,-12.1635,-4.8905,-1.3784
,-2.4601,,,,,,,,-11.442,-4.6004,-1.2813
,-2.3605,,,,,,,,-11.0604,-4.447,-1.2294
,-2.1481,,,,,,,,-10.3181,-4.1485,-1.1188
,-2.0307,,,,,,,,-9.9189,-3.988,-1.0576
,-1.983,,,,,,,,-9.7482,-3.9194,-1.0328
,-1.8533,,,,,,,,-9.2722,-3.728,-0.9653
,-1.7675,,,,,,,,-8.9728,-3.6076,-0.9206
,-1.6393,,,,,,,,-8.5273,-3.4285,-0.8538
,-1.4616,,,,,,,,-7.9068,-3.179,-0.7612
,-1.3736,,,,,,,,-7.5908,-3.052,-0.7154
,-1.2972,,,,,,,,-7.3205,-2.9433,-0.6756
,-1.207,,,,,,,,-6.9891,-2.81,-0.6286
,-1.1554,,,,,,,,-6.7894,-2.7298,-0.6018
,-1.0167,,,,,,,,-6.3191,-2.5407,-0.5295
,-0.9289,,,,,,,,-6.0122,-2.4173,-0.4838
,-0.9,,,,,,,,-5.9102,-2.3763,-0.4687
,-0.8335,,,,,,,,-5.6812,-2.2842,-0.4341
,-0.7902,,,,,,,,-5.5326,-2.2245,-0.4116
,-0.7743,,,,,,,,-5.4816,-2.204,-0.4033
,-0.7246,,,,,,,,-5.3071,-2.1338,-0.3774
,-0.6912,,,,,,,,-5.1898,-2.0866,-0.36
,-0.6738,,,,,,,,-5.1492,-2.0703,-0.3509
,-0.6546,,,,,,,,-5.0832,-2.0438,-0.341
,-0.6434,,,,,,,,-5.0364,-2.025,-0.3351
,-0.6354,,,,,,,,-4.9962,-2.0088,-0.3309
,-0.6229,,,,,,,,-4.9307,-1.9824,-0.3244
,-0.6115,,,,,,,,-4.883,-1.9633,-0.3185
,-0.5991,,,,,,,,-4.829,-1.9416,-0.312
,-0.5876,,,,,,,,-4.7808,-1.9222,-0.306
,-0.5796,,,,,,,,-4.7553,-1.9119,-0.3019
,-0.5717,,,,,,,,-4.7298,-1.9017,-0.2978
,-0.5637,,,,,,,,-4.7043,-1.8914,-0.2936
,-0.5516,,,,,,,,-4.6517,-1.8703,-0.2873
,-0.5398,,,,,,,,-4.602,-1.8503,-0.2812
,-0.5319,,,,,,,,-4.5765,-1.84,-0.277
,-0.5239,,,,,,,,-4.551,-1.8298,-0.2729
,-0.5119,,,,,,,,-4.5126,-1.8143,-0.2666
,-0.5,,,,,,,,-4.4744,-1.799,-0.2604
,-0.4921,,,,,,,,-4.4362,-1.7836,-0.2563
,-0.4841,,,,,,,,-4.3978,-1.7682,-0.2521
,-0.4761,,,,,,,,-4.3723,-1.7579,-0.248
,-0.4644,,,,,,,,-4.3101,-1.7329,-0.2419
,-0.4522,,,,,,,,-4.2443,-1.7065,-0.2355
,-0.4443,,,,,,,,-4.2069,-1.6915,-0.2314
,-0.4327,,,,,,,,-4.156,-1.671,-0.2253
,-0.4204,,,,,,,,-4.1166,-1.6551,-0.2189
,-0.4088,,,,,,,,-4.0567,-1.631,-0.2129
,-0.3894,,,,,,,,-3.966,-1.5946,-0.2028
,-0.3725,,,,,,,,-3.9007,-1.5683,-0.194
,-0.3577,,,,,,,,-3.8608,-1.5523,-0.1863
,-0.3406,,,,,,,,-3.8244,-1.5376,-0.1774
,-0.3327,,,,,,,,-3.7841,-1.5215,-0.1733
,-0.3115,,,,,,,,-3.6633,-1.4729,-0.1622
,-0.2815,,,,,,,,-3.5024,-1.4082,-0.1466
,-0.2688,,,,,,,,-3.4666,-1.3938,-0.14
,-0.2513,,,,,,,,-3.4055,-1.3692,-0.1309
,-0.2289,,,,,,,,-3.349,-1.3465,-0.1192
,-0.2148,,,,,,,,-3.3235,-1.3362,-0.1119
,-0.1879,,,,,,,,-3.23,-1.2987,-0.0979
,-0.165,,,,,,,,-3.0834,-1.2397,-0.0859
,-0.1483,,,,,,,,-2.9948,-1.2041,-0.0772
,-0.1222,,,,,,,,-2.8696,-1.1538,-0.0637
,-0.1063,,,,,,,,-2.8114,-1.1304,-0.0554
,-0.0764,,,,,,,,-2.7321,-1.0985,-0.0398
,-0.0345,,,,,,,,-2.5977,-1.0445,-0.018
,-0.0186,,,,,,,,-2.5381,-1.0205,-0.0097
,0.016,,,,,,,,-2.3763,-0.9554,0.0083
,0.0692,,,,,,,,-2.1371,-0.8592,0.0361
,0.0826,,,,,,,,-2.0861,-0.8387,0.043
,0.1082,,,,,,,,-2.0027,-0.8052,0.0563
,0.157,,,,,,,,-1.8736,-0.7533,0.0817
,0.185,,,,,,,,-1.7504,-0.7038,0.0964
