I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-25.2821,-5.216,-2.7167,,,,,,,,,
-25.2821,-5.216,-2.7167,,,,,,,,,
-26.524,-5.3267,-2.7743,,,,,,,,,
-26.6645,-5.328,-2.775,,,,,,,,,
-26.817,-5.328,-2.775,,,,,,,,,
-27.3684,-5.328,-2.775,,,,,,,,,
-27.1618,-5.328,-2.775,,,,,,,,,
-26.7847,-5.328,-2.775,,,,,,,,,
-26.6958,-5.328,-2.775,,,,,,,,,
-26.595,-5.328,-2.775,,,,,,,,,
-26.1547,-5.328,-2.775,,,,,,,,,
-25.96,-5.328,-2.775,,,,,,,,,
-25.7816,-5.328,-2.775,,,,,,,,,
-24.5828,-5.291,-2.7557,,,,,,,,,
-24.2985,-5.2512,-2.735,,,,,,,,,
-24.0711,-5.2114,-2.7143,,,,,,,,,
-23.2362,-5.0772,-2.6444,,,,,,,,,
-22.9224,-5.0279,-2.6187,,,,,,,,,
-22.2996,-4.902,-2.5531,,,,,,,,,
-21.3169,-4.8096,-2.505,,,,,,,,,
-20.9554,-4.7363,-2.4668,,,,,,,,,
-19.9533,-4.5028,-2.3452,,,,,,,,,
-19.2156,-4.3112,-2.2454,,,,,,,,,
-18.8611,-4.2186,-2.1972,,,,,,,,,
-17.8255,-3.9803,-2.0731,,,,,,,,,
-17.4031,-3.8892,-2.0256,,,,,,,,,
-17.119,-3.8187,-1.9889,,,,,,,,,
-15.4734,-3.4429,-1.7932,,,,,,,,,
-14.9427,-3.3156,-1.7269,,,,,,,,,
-14.3844,-3.1706,-1.6514,,,,,,,,,
-13.6664,-3.0182,-1.572,,,,,,,,,
-13.3066,-2.946,-1.5344,,,,,,,,,
-12.6074,-2.7662,-1.4407,,,,,,,,,
-11.6508,-2.5269,-1.3161,,,,,,,,,
-11.2964,-2.4349,-1.2682,,,,,,,,,
-10.6621,-2.2578,-1.1759,,,,,,,,,
-10.3501,-2.1843,-1.1376,,,,,,,,,
-10.1461,-2.1382,-1.1136,,,,,,,,,
-9.4007,-1.9278,-1.0041,,,,,,,,,
-9.0658,-1.8285,-0.9524,,,,,,,,,
-8.9071,-1.779,-0.9266,,,,,,,,,
-8.205,-1.5722,-0.8189,,,,,,,,,
-7.8832,-1.4816,-0.7717,,,,,,,,,
-7.5371,-1.3937,-0.7259,,,,,,,,,
-7.1867,-1.2843,-0.6689,,,,,,,,,
-7.0075,-1.2263,-0.6387,,,,,,,,,
-6.7101,-1.1336,-0.5904,,,,,,,,,
-6.2034,-0.9754,-0.508,,,,,,,,,
-5.977,-0.9048,-0.4713,,,,,,,,,
-5.6722,-0.827,-0.4307,,,,,,,,,
-5.491,-0.7829,-0.4078,,,,,,,,,
-5.4071,-0.7647,-0.3983,,,,,,,,,
-5.1687,-0.6758,-0.352,,,,,,,,,
-5.0412,-0.6344,-0.3304,,,,,,,,,
-4.9548,-0.621,-0.3234,,,,,,,,,
-4.8704,-0.605,-0.3151,,,,,,,,,
-4.8113,-0.5946,-0.3097,,,,,,,,,
-4.7431,-0.5812,-0.3027,,,,,,,,,
-4.6666,-0.5493,-0.2861,,,,,,,,,
-4.6241,-0.5307,-0.2764,,,,,,,,,
-4.5313,-0.5123,-0.2668,,,,,,,,,
-4.4705,-0.4988,-0.2598,,,,,,,,,
-4.4285,-0.4908,-0.2556,,,,,,,,,
-4.3611,-0.4778,-0.2488,,,,,,,,,
-4.3171,-0.4669,-0.2432,,,,,,,,,
-4.2916,-0.459,-0.2391,,,,,,,,,
-4.2661,-0.4461,-0.2323,,,,,,,,,
-4.2406,-0.4351,-0.2266,,,,,,,,,
-4.2151,-0.4271,-0.2225,,,,,,,,,
-4.1741,-0.4192,-0.2183,,,,,,,,,
-4.1385,-0.4112,-0.2142,,,,,,,,,
-4.113,-0.3985,-0.2076,,,,,,,,,
-4.0875,-0.3873,-0.2017,,,,,,,,,
-4.062,-0.3793,-0.1976,,,,,,,,,
-4.0218,-0.3714,-0.1934,,,,,,,,,
-3.9708,-0.3634,-0.1893,,,,,,,,,
-3.9343,-0.3555,-0.1851,,,,,,,,,
-3.8801,-0.3386,-0.1764,,,,,,,,,
-3.832,-0.3236,-0.1685,,,,,,,,,
-3.7644,-0.3069,-0.1598,,,,,,,,,
-3.6902,-0.2873,-0.1497,,,,,,,,,
-3.6392,-0.2757,-0.1436,,,,,,,,,
-3.5882,-0.2678,-0.1395,,,,,,,,,
-3.5104,-0.2556,-0.1331,,,,,,,,,
-3.4483,-0.2439,-0.127,,,,,,,,,
-3.3571,-0.2277,-0.1186,,,,,,,,,
-3.2561,-0.2119,-0.1104,,,,,,,,,
-3.2051,-0.204,-0.1062,,,,,,,,,
-3.116,-0.1802,-0.0938,,,,,,,,,
-3.0387,-0.1522,-0.0793,,,,,,,,,
-3.0008,-0.1401,-0.073,,,,,,,,,
-2.8518,-0.1169,-0.0609,,,,,,,,,
-2.6937,-0.0922,-0.048,,,,,,,,,
-2.6308,-0.0768,-0.04,,,,,,,,,
-2.5307,-0.0456,-0.0237,,,,,,,,,
-2.4382,-0.0204,-0.0106,,,,,,,,,
-2.3066,0.0056,0.0029,,,,,,,,,
-2.0885,0.0462,0.0241,,,,,,,,,
-1.9519,0.071,0.037,,,,,,,,,
-1.8566,0.0973,0.0507,,,,,,,,,
-1.7474,0.1268,0.0661,,,,,,,,,
-1.6964,0.1427,0.0743,,,,,,,,,
-1.5284,0.1819,0.0947,,,,,,,,,
-1.3019,0.2305,0.1201,,,,,,,,,
-1.1737,0.2594,0.1351,,,,,,,,,
-1.0003,0.3007,0.1566,,,,,,,,,
-0.903,0.3263,0.1699,,,,,,,,,
-0.8124,0.3545,0.1847,,,,,,,,,
-0.6497,0.3992,0.2079,,,,,,,,,
-0.5096,0.43,0.224,,,,,,,,,
-0.2912,0.4784,0.2492,,,,,,,,,
0.0279,0.5498,0.2864,,,,,,,,,
0.0953,0.5657,0.2946,,,,,,,,,
0.2274,0.6013,0.3132,,,,,,,,,
0.4369,0.6535,0.3404,,,,,,,,,
0.5046,0.6694,0.3487,,,,,,,,,
0.7015,0.7175,0.3737,,,,,,,,,
1.0509,0.7973,0.4152,,,,,,,,,
1.1688,0.8209,0.4276,,,,,,,,,
1.3565,0.8658,0.4509,,,,,,,,,
1.4775,0.909,0.4734,,,,,,,,,
1.552,0.9322,0.4855,,,,,,,,,
1.718,0.9792,0.51,,,,,,,,,
1.9125,1.0287,0.5358,,,,,,,,,
2.0153,1.0608,0.5525,,,,,,,,,
2.1867,1.1165,0.5815,,,,,,,,,
2.2122,1.1324,0.5898,,,,,,,,,
2.2586,1.157,0.6026,,,,,,,,,
2.3401,1.1941,0.6219,,,,,,,,,
2.3656,1.2042,0.6272,,,,,,,,,
2.4107,1.2262,0.6386,,,,,,,,,
,1.256,,2.4872,1.0,0.6542,,,,,,
,1.2599,,2.4872,1.0,0.6562,,,,,,
,1.2739,,2.4872,1.0,0.6635,,,,,,
,1.28,,2.4872,1.0,0.6667,,,,,,
,1.2854,,2.4698,0.993,0.6695,,,,,,
,1.2987,,2.4046,0.9668,0.6764,,,,,,
,1.28,,2.3791,0.9566,0.6667,,,,,,
,1.2733,,2.3216,0.9334,0.6632,,,,,,
,1.2464,,2.1743,0.8742,0.6492,,,,,,
,1.2384,,2.1437,0.8619,0.645,,,,,,
,1.2228,,2.0535,0.8256,0.6369,,,,,,
,1.1825,,1.8319,0.7365,0.6159,,,,,,
,1.1616,,1.7047,0.6854,0.605,,,,,,
,1.089,,1.3701,0.5509,0.5672,,,,,,
,1.052,,1.1622,0.4673,0.5479,,,,,,
,1.0242,,1.0353,0.4162,0.5334,,,,,,
,0.9752,,0.7803,0.3137,0.5079,,,,,,
,0.9244,,0.5486,0.2206,0.4814,,,,,,
,0.8773,,0.3498,0.1406,0.4569,,,,,,
,0.7155,,-0.3256,-0.1309,0.3727,,,,,,
,0.6837,,-0.4531,-0.1822,0.3561,,,,,,
,0.6437,,-0.6167,-0.2479,0.3353,,,,,,
,0.5561,,-0.99,-0.3981,0.2896,,,,,,
,0.5168,,-1.1504,-0.4625,0.2692,,,,,,
,0.4187,,-1.5668,-0.63,0.2181,,,,,,
,0.3086,,-2.0108,-0.8085,0.1607,,,,,,
,0.2736,,-2.1255,-0.8546,0.1425,,,,,,
,0.2093,,-2.3574,-0.9478,0.109,,,,,,
,0.1419,,-2.601,-1.0458,0.0739,,,,,,
,0.1062,,-2.7707,-1.114,0.0553,,,,,,
,-0.0498,,-3.3649,-1.3529,-0.026,,,,,,
