I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-6.4493,-6.4493,-6.4493,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4233,-6.4233,-6.4233,,,,,,,,,
-6.4211,-6.4211,-6.4211,,,,,,,,,
-6.397,-6.397,-6.397,,,,,,,,,
-6.3707,-6.3707,-6.3707,,,,,,,,,
-6.3444,-6.3444,-6.3444,,,,,,,,,
-6.3421,-6.3421,-6.3421,,,,,,,,,
-6.3181,-6.3181,-6.3181,,,,,,,,,
-6.2918,-6.2918,-6.2918,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2895,-6.2895,-6.2895,,,,,,,,,
-6.2655,-6.2655,-6.2655,,,,,,,,,
-6.2632,-6.2632,-6.2632,,,,,,,,,
-6.2393,-6.2393,-6.2393,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2131,-6.2131,-6.2131,,,,,,,,,
-6.1868,-6.1868,-6.1868,,,,,,,,,
-6.1842,-6.1842,-6.1842,,,,,,,,,
-6.1605,-6.1605,-6.1605,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.0872,-6.0872,,,,,,,,,
-6.1579,-6.1496,-6.1496,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1579,-6.1579,-6.1579,,,,,,,,,
-6.1813,-6.1813,-6.1813,,,,,,,,,
-6.1842,-6.1842,-6.1842,,,,,,,,,
-6.2076,-6.2076,-6.2076,,,,,,,,,
-6.2339,-6.2339,-6.2339,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2835,-6.2368,-6.2368,,,,,,,,,
-6.2428,-6.2368,-6.2368,,,,,,,,,
-6.2368,-6.2368,-6.2368,,,,,,,,,
-6.2135,-6.2135,-6.2135,,,,,,,,,
-6.2105,-6.2105,-6.2105,,,,,,,,,
-6.1873,-6.1873,-6.1873,,,,,,,,,
-6.161,-6.161,-6.161,,,,,,,,,
-6.1347,-6.1347,-6.1347,,,,,,,,,
-6.1084,-6.1084,-6.1084,,,,,,,,,
-6.1053,-6.1053,-6.1053,,,,,,,,,
-6.0821,-6.0821,-6.0821,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0558,-6.0558,-6.0558,,,,,,,,,
-6.0526,-6.0526,-6.0526,,,,,,,,,
-6.0295,-6.0295,-6.0295,,,,,,,,,
-6.0033,-6.0033,-6.0033,,,,,,,,,
-5.977,-5.977,-5.977,,,,,,,,,
-5.9737,-5.9737,-5.9737,,,,,,,,,
